ConditionName,Outcome,CountryName,Admin1ISO,Date,SourceName,CountValue
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-05-22,"United States Centers for Disease Control and Prevention, COVID-19 Response",97.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-05-23,"United States Centers for Disease Control and Prevention, COVID-19 Response",96.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-05-24,"United States Centers for Disease Control and Prevention, COVID-19 Response",41.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-05-25,"United States Centers for Disease Control and Prevention, COVID-19 Response",43.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-05-26,"United States Centers for Disease Control and Prevention, COVID-19 Response",69.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-05-27,"United States Centers for Disease Control and Prevention, COVID-19 Response",111.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-05-28,"United States Centers for Disease Control and Prevention, COVID-19 Response",112.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-05-29,"United States Centers for Disease Control and Prevention, COVID-19 Response",133.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-05-30,"United States Centers for Disease Control and Prevention, COVID-19 Response",118.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-05-31,"United States Centers for Disease Control and Prevention, COVID-19 Response",92.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-06-01,"United States Centers for Disease Control and Prevention, COVID-19 Response",66.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-06-02,"United States Centers for Disease Control and Prevention, COVID-19 Response",192.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-06-03,"United States Centers for Disease Control and Prevention, COVID-19 Response",159.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-06-04,"United States Centers for Disease Control and Prevention, COVID-19 Response",190.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-06-05,"United States Centers for Disease Control and Prevention, COVID-19 Response",177.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-06-06,"United States Centers for Disease Control and Prevention, COVID-19 Response",237.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-06-07,"United States Centers for Disease Control and Prevention, COVID-19 Response",143.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-06-08,"United States Centers for Disease Control and Prevention, COVID-19 Response",155.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-06-09,"United States Centers for Disease Control and Prevention, COVID-19 Response",290.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-06-10,"United States Centers for Disease Control and Prevention, COVID-19 Response",282.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-06-11,"United States Centers for Disease Control and Prevention, COVID-19 Response",420.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-06-12,"United States Centers for Disease Control and Prevention, COVID-19 Response",355.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-06-13,"United States Centers for Disease Control and Prevention, COVID-19 Response",386.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-06-14,"United States Centers for Disease Control and Prevention, COVID-19 Response",288.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-06-15,"United States Centers for Disease Control and Prevention, COVID-19 Response",272.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-06-16,"United States Centers for Disease Control and Prevention, COVID-19 Response",535.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-06-17,"United States Centers for Disease Control and Prevention, COVID-19 Response",553.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-06-18,"United States Centers for Disease Control and Prevention, COVID-19 Response",530.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-06-19,"United States Centers for Disease Control and Prevention, COVID-19 Response",535.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-06-20,"United States Centers for Disease Control and Prevention, COVID-19 Response",509.0
